RecordingDate,Liturgical Year,Week Number,PrimaryLiturgicalTitle
11/27/2022,Year A,1,First Sunday of Advent
12/4/2022,Year A,2,Second Sunday of Advent
12/11/2022,Year A,3,Third Sunday of Advent
12/18/2022,Year A,4,Fourth Sunday of Advent
12/25/2022,Year A,5,Christmas Day
1/1/2023,Year A,6,First Sunday of Christmas
1/8/2023,Year A,7,Baptism of Our Lord
1/15/2023,Year A,8,Second Sunday after Epiphany
1/22/2023,Year A,9,Third Sunday after Epiphany
1/29/2023,Year A,10,Fourth Sunday after Epiphany
2/5/2023,Year A,11,Fifth Sunday after Epiphany
2/12/2023,Year A,12,Sixth Sunday after Epiphany
2/19/2023,Year A,13,Seventh Sunday after Epiphany
2/26/2023,Year A,14,First Sunday in Lent
3/5/2023,Year A,15,Second Sunday in Lent
3/12/2023,Year A,16,Third Sunday in Lent
3/19/2023,Year A,17,Fourth Sunday in Lent
3/26/2023,Year A,18,Fifth Sunday in Lent
4/2/2023,Year A,19,Sixth Sunday in Lent
4/9/2023,Year A,20,Resurrection of Our Lord
4/16/2023,Year A,21,Third Sunday of Easter
4/23/2023,Year A,22,Fourth Sunday of Easter
4/30/2023,Year A,23,Fifth Sunday of Easter
5/7/2023,Year A,24,Sixth Sunday of Easter
5/14/2023,Year A,25,Seventh Sunday of Easter
5/21/2023,Year A,26,Eighth Sunday of Easter
5/28/2023,Year A,27,Day of Pentecost
6/4/2023,Year A,28,The Holy Trinity
6/11/2023,Year A,29,Second Sunday after Pentecost
6/18/2023,Year A,30,Third Sunday after Pentecost
6/25/2023,Year A,31,Fourth Sunday after Pentecost
7/2/2023,Year A,32,Fifth Sunday after Pentecost
7/9/2023,Year A,33,Sixth Sunday after Pentecost
7/16/2023,Year A,34,Seventh Sunday after Pentecost
7/23/2023,Year A,35,Eighth Sunday after Pentecost
7/30/2023,Year A,36,Ninth Sunday after Pentecost
8/6/2023,Year A,37,Tenth Sunday after Pentecost
8/13/2023,Year A,38,Eleventh Sunday after Pentecost
8/20/2023,Year A,39,Twelfth Sunday after Pentecost
8/27/2023,Year A,40,Thirteenth Sunday after Pentecost
9/3/2023,Year A,41,Fourteenth Sunday after Pentecost
9/10/2023,Year A,42,Fifteenth Sunday after Pentecost
9/17/2023,Year A,43,Sixteenth Sunday after Pentecost
9/24/2023,Year A,44,Seventeenth Sunday after Pentecost
10/1/2023,Year A,45,Eighteenth Sunday after Pentecost
10/8/2023,Year A,46,Nineteenth Sunday after Pentecost
10/15/2023,Year A,47,Twentieth Sunday after Pentecost
10/22/2023,Year A,48,Twenty-first Sunday after Pentecost
10/29/2023,Year A,49,Twenty-second Sunday after Pentecost
11/5/2023,Year A,50,All Saints Day
11/12/2023,Year A,51,Twenty-fourth Sunday after Pentecost
11/19/2023,Year A,52,Twenty-fifth Sunday after Pentecost
11/26/2023,Year B,1,First Sunday of Advent
12/3/2023,Year B,2,Second Sunday of Advent
12/10/2023,Year B,3,Third Sunday of Advent
12/17/2023,Year B,4,Fourth Sunday of Advent
12/24/2023,Year B,5,Fifth Sunday of Advent
12/31/2023,Year B,6,New Years Eve
1/7/2024,Year B,7,Baptism of Our Lord
1/14/2024,Year B,8,Second Sunday after Epiphany
1/21/2024,Year B,9,Third Sunday after Epiphany
1/28/2024,Year B,10,Fourth Sunday after Epiphany
2/4/2024,Year B,11,Fifth Sunday after Epiphany
2/11/2024,Year B,12,Sixth Sunday after Epiphany
2/18/2024,Year B,13,First Sunday in Lent
2/25/2024,Year B,14,Second Sunday in Lent
3/3/2024,Year B,15,Third Sunday in Lent
3/10/2024,Year B,16,Fourth Sunday in Lent
3/17/2024,Year B,17,Fifth Sunday in Lent
3/24/2024,Year B,18,Sixth Sunday in Lent
3/31/2024,Year B,19,Resurrection of Our Lord
4/7/2024,Year B,20,Third Sunday of Easter
4/14/2024,Year B,21,Fourth Sunday of Easter
4/21/2024,Year B,22,Fifth Sunday of Easter
4/28/2024,Year B,23,Sixth Sunday of Easter
5/5/2024,Year B,24,Seventh Sunday of Easter
5/12/2024,Year B,25,Eighth Sunday of Easter
5/19/2024,Year B,26,Day of Pentecost
5/26/2024,Year B,27,The Holy Trinity
6/2/2024,Year B,28,Second Sunday after Pentecost
6/9/2024,Year B,29,Third Sunday after Pentecost
6/16/2024,Year B,30,Fourth Sunday after Pentecost
6/23/2024,Year B,31,Fifth Sunday after Pentecost
6/30/2024,Year B,32,Sixth Sunday after Pentecost
7/7/2024,Year B,33,Seventh Sunday after Pentecost
7/14/2024,Year B,34,Eighth Sunday after Pentecost
7/21/2024,Year B,35,Ninth Sunday after Pentecost
7/28/2024,Year B,36,Tenth Sunday after Pentecost
8/4/2024,Year B,37,Eleventh Sunday after Pentecost
8/11/2024,Year B,38,Twelfth Sunday after Pentecost
8/18/2024,Year B,39,Thirteenth Sunday after Pentecost
8/25/2024,Year B,40,Fourteenth Sunday after Pentecost
9/1/2024,Year B,41,Fifteenth Sunday after Pentecost
9/8/2024,Year B,42,Sixteenth Sunday after Pentecost
9/15/2024,Year B,43,Seventeenth Sunday after Pentecost
9/22/2024,Year B,44,Eighteenth Sunday after Pentecost
9/29/2024,Year B,45,Nineteenth Sunday after Pentecost
10/6/2024,Year B,46,Twentieth Sunday after Pentecost
10/13/2024,Year B,47,Twenty-first Sunday after Pentecost
10/20/2024,Year B,48,Twenty-second Sunday after Pentecost
10/27/2024,Year B,49,Twenty-third Sunday after Pentecost
11/3/2024,Year B,50,All Saints Day
11/10/2024,Year B,51,Twenty-fifth Sunday after Pentecost
11/17/2024,Year B,52,Twenty-sixth Sunday after Pentecost
11/24/2024,Year C,1,First Sunday of Advent
12/1/2024,Year C,2,Second Sunday of Advent
12/8/2024,Year C,3,Third Sunday of Advent
12/15/2024,Year C,4,Fourth Sunday of Advent
12/22/2024,Year C,5,Fifth Sunday of Advent
12/29/2024,Year C,6,First Sunday of Christmas
1/5/2025,Year C,7,Second Sunday of Christmas
1/12/2025,Year C,8,Baptism of Our Lord
1/19/2025,Year C,9,Second Sunday after Epiphany
1/26/2025,Year C,10,Third Sunday after Epiphany
2/2/2025,Year C,11,Fourth Sunday after Epiphany
2/9/2025,Year C,12,Fifth Sunday after Epiphany
2/16/2025,Year C,13,Sixth Sunday after Epiphany
2/23/2025,Year C,14,Seventh Sunday after Epiphany
3/2/2025,Year C,15,Eighth Sunday after Epiphany
3/9/2025,Year C,16,First Sunday in Lent
3/16/2025,Year C,17,Second Sunday in Lent
3/23/2025,Year C,18,Third Sunday in Lent
3/30/2025,Year C,19,Fourth Sunday in Lent
4/6/2025,Year C,20,Fifth Sunday in Lent
4/13/2025,Year C,21,Sixth Sunday in Lent
4/20/2025,Year C,22,Resurrection of Our Lord
4/27/2025,Year C,23,Third Sunday of Easter
5/4/2025,Year C,24,Fourth Sunday of Easter
5/11/2025,Year C,25,Fifth Sunday of Easter
5/18/2025,Year C,26,Sixth Sunday of Easter
5/25/2025,Year C,27,Seventh Sunday of Easter
6/1/2025,Year C,28,Eighth Sunday of Easter
6/8/2025,Year C,29,Day of Pentecost
6/15/2025,Year C,30,The Holy Trinity
6/22/2025,Year C,31,Second Sunday after Pentecost
6/29/2025,Year C,32,Third Sunday after Pentecost
7/6/2025,Year C,33,Fourth Sunday after Pentecost
7/13/2025,Year C,34,Fifth Sunday after Pentecost
7/20/2025,Year C,35,Sixth Sunday after Pentecost
7/27/2025,Year C,36,Seventh Sunday after Pentecost
8/3/2025,Year C,37,Eighth Sunday after Pentecost
8/10/2025,Year C,38,Ninth Sunday after Pentecost
8/17/2025,Year C,39,Tenth Sunday after Pentecost
8/24/2025,Year C,40,Eleventh Sunday after Pentecost
8/31/2025,Year C,41,Twelfth Sunday after Pentecost
9/7/2025,Year C,42,Thirteenth Sunday after Pentecost
9/14/2025,Year C,43,Fourteenth Sunday after Pentecost
9/21/2025,Year C,44,Fifteenth Sunday after Pentecost
9/28/2025,Year C,45,Sixteenth Sunday after Pentecost
10/5/2025,Year C,46,Seventeenth Sunday after Pentecost
10/12/2025,Year C,47,Eighteenth Sunday after Pentecost
10/19/2025,Year C,48,Nineteenth Sunday after Pentecost
10/26/2025,Year C,49,Twentieth Sunday after Pentecost
11/2/2025,Year C,50,All Saints Day
11/9/2025,Year C,51,Twenty-second Sunday after Pentecost
11/16/2025,Year C,52,Twenty-third Sunday after Pentecost
11/23/2025,Year A,1,First Sunday of Advent
11/30/2025,Year A,2,Second Sunday of Advent
12/7/2025,Year A,3,Third Sunday of Advent
12/14/2025,Year A,4,Fourth Sunday of Advent
12/21/2025,Year A,5,Fifth Sunday of Advent
12/28/2025,Year A,6,First Sunday of Christmas
1/4/2026,Year A,7,Second Sunday of Christmas
1/11/2026,Year A,8,Baptism of Our Lord
1/18/2026,Year A,9,Second Sunday after Epiphany
1/25/2026,Year A,10,Third Sunday after Epiphany
2/1/2026,Year A,11,Fourth Sunday after Epiphany
2/8/2026,Year A,12,Fifth Sunday after Epiphany
2/15/2026,Year A,13,Sixth Sunday after Epiphany
2/22/2026,Year A,14,First Sunday in Lent
3/1/2026,Year A,15,Second Sunday in Lent
3/8/2026,Year A,16,Third Sunday in Lent
3/15/2026,Year A,17,Fourth Sunday in Lent
3/22/2026,Year A,18,Fifth Sunday in Lent
3/29/2026,Year A,19,Sixth Sunday in Lent
4/5/2026,Year A,20,Resurrection of Our Lord
4/12/2026,Year A,21,Third Sunday of Easter
4/19/2026,Year A,22,Fourth Sunday of Easter
4/26/2026,Year A,23,Fifth Sunday of Easter
5/3/2026,Year A,24,Sixth Sunday of Easter
5/10/2026,Year A,25,Seventh Sunday of Easter
5/17/2026,Year A,26,Eighth Sunday of Easter
5/24/2026,Year A,27,Day of Pentecost
5/31/2026,Year A,28,The Holy Trinity
6/7/2026,Year A,29,Second Sunday after Pentecost
6/14/2026,Year A,30,Third Sunday after Pentecost
6/21/2026,Year A,31,Fourth Sunday after Pentecost
6/28/2026,Year A,32,Fifth Sunday after Pentecost
7/5/2026,Year A,33,Sixth Sunday after Pentecost
7/12/2026,Year A,34,Seventh Sunday after Pentecost
7/19/2026,Year A,35,Eighth Sunday after Pentecost
7/26/2026,Year A,36,Ninth Sunday after Pentecost
8/2/2026,Year A,37,Tenth Sunday after Pentecost
8/9/2026,Year A,38,Eleventh Sunday after Pentecost
8/16/2026,Year A,39,Twelfth Sunday after Pentecost
8/23/2026,Year A,40,Thirteenth Sunday after Pentecost
8/30/2026,Year A,41,Fourteenth Sunday after Pentecost
9/6/2026,Year A,42,Fifteenth Sunday after Pentecost
9/13/2026,Year A,43,Sixteenth Sunday after Pentecost
9/20/2026,Year A,44,Seventeenth Sunday after Pentecost
9/27/2026,Year A,45,Eighteenth Sunday after Pentecost
10/4/2026,Year A,46,Nineteenth Sunday after Pentecost
10/11/2026,Year A,47,Twentieth Sunday after Pentecost
10/18/2026,Year A,48,Twenty-first Sunday after Pentecost
10/25/2026,Year A,49,Twenty-second Sunday after Pentecost
11/1/2026,Year A,50,All Saints Day
11/8/2026,Year A,51,Twenty-fourth Sunday after Pentecost
11/15/2026,Year A,52,Twenty-fifth Sunday after Pentecost
11/22/2026,Year B,1,First Sunday of Advent
11/29/2026,Year B,2,Second Sunday of Advent
12/6/2026,Year B,3,Third Sunday of Advent
12/13/2026,Year B,4,Fourth Sunday of Advent
12/20/2026,Year B,5,Fifth Sunday of Advent
12/27/2026,Year B,6,First Sunday of Christmas
1/3/2027,Year B,7,Second Sunday of Christmas
1/10/2027,Year B,8,Baptism of Our Lord
1/17/2027,Year B,9,Second Sunday after Epiphany
1/24/2027,Year B,10,Third Sunday after Epiphany
1/31/2027,Year B,11,Fourth Sunday after Epiphany
2/7/2027,Year B,12,Fifth Sunday after Epiphany
2/14/2027,Year B,13,First Sunday in Lent
2/21/2027,Year B,14,Second Sunday in Lent
2/28/2027,Year B,15,Third Sunday in Lent
3/7/2027,Year B,16,Fourth Sunday in Lent
3/14/2027,Year B,17,Fifth Sunday in Lent
3/21/2027,Year B,18,Sixth Sunday in Lent
3/28/2027,Year B,19,Resurrection of Our Lord
4/4/2027,Year B,20,Third Sunday of Easter
4/11/2027,Year B,21,Fourth Sunday of Easter
4/18/2027,Year B,22,Fifth Sunday of Easter
4/25/2027,Year B,23,Sixth Sunday of Easter
5/2/2027,Year B,24,Seventh Sunday of Easter
5/9/2027,Year B,25,Eighth Sunday of Easter
5/16/2027,Year B,26,Day of Pentecost
5/23/2027,Year B,27,The Holy Trinity
5/30/2027,Year B,28,Second Sunday after Pentecost
6/6/2027,Year B,29,Third Sunday after Pentecost
6/13/2027,Year B,30,Fourth Sunday after Pentecost
6/20/2027,Year B,31,Fifth Sunday after Pentecost
6/27/2027,Year B,32,Sixth Sunday after Pentecost
7/4/2027,Year B,33,Seventh Sunday after Pentecost
7/11/2027,Year B,34,Eighth Sunday after Pentecost
7/18/2027,Year B,35,Ninth Sunday after Pentecost
7/25/2027,Year B,36,Tenth Sunday after Pentecost
8/1/2027,Year B,37,Eleventh Sunday after Pentecost
8/8/2027,Year B,38,Twelfth Sunday after Pentecost
8/15/2027,Year B,39,Thirteenth Sunday after Pentecost
8/22/2027,Year B,40,Fourteenth Sunday after Pentecost
8/29/2027,Year B,41,Fifteenth Sunday after Pentecost
9/5/2027,Year B,42,Sixteenth Sunday after Pentecost
9/12/2027,Year B,43,Seventeenth Sunday after Pentecost
9/19/2027,Year B,44,Eighteenth Sunday after Pentecost
9/26/2027,Year B,45,Nineteenth Sunday after Pentecost
10/3/2027,Year B,46,Twentieth Sunday after Pentecost
10/10/2027,Year B,47,Twenty-first Sunday after Pentecost
10/17/2027,Year B,48,Twenty-second Sunday after Pentecost
10/24/2027,Year B,49,Twenty-third Sunday after Pentecost
10/31/2027,Year B,50,Twenty-fourth Sunday after Pentecost
11/7/2027,Year B,51,All Saints Day
11/14/2027,Year B,52,Twenty-sixth Sunday after Pentecost
11/21/2027,Year C,1,First Sunday of Advent
11/28/2027,Year C,2,Second Sunday of Advent
12/5/2027,Year C,3,Third Sunday of Advent
12/12/2027,Year C,4,Fourth Sunday of Advent
12/19/2027,Year C,5,Fifth Sunday of Advent
12/26/2027,Year C,6,First Sunday of Christmas
1/2/2028,Year C,7,Second Sunday of Christmas
1/9/2028,Year C,8,Baptism of Our Lord
1/16/2028,Year C,9,Second Sunday after Epiphany
1/23/2028,Year C,10,Third Sunday after Epiphany
1/30/2028,Year C,11,Fourth Sunday after Epiphany
2/6/2028,Year C,12,Fifth Sunday after Epiphany
2/13/2028,Year C,13,Sixth Sunday after Epiphany
2/20/2028,Year C,14,Seventh Sunday after Epiphany
2/27/2028,Year C,15,Eighth Sunday after Epiphany
3/5/2028,Year C,16,First Sunday in Lent
3/12/2028,Year C,17,Second Sunday in Lent
3/19/2028,Year C,18,Third Sunday in Lent
3/26/2028,Year C,19,Fourth Sunday in Lent
4/2/2028,Year C,20,Fifth Sunday in Lent
4/9/2028,Year C,21,Sixth Sunday in Lent
4/16/2028,Year C,22,Resurrection of Our Lord
4/23/2028,Year C,23,Third Sunday of Easter
4/30/2028,Year C,24,Fourth Sunday of Easter
5/7/2028,Year C,25,Fifth Sunday of Easter
5/14/2028,Year C,26,Sixth Sunday of Easter
5/21/2028,Year C,27,Seventh Sunday of Easter
5/28/2028,Year C,28,Eighth Sunday of Easter
6/4/2028,Year C,29,Day of Pentecost
6/11/2028,Year C,30,The Holy Trinity
6/18/2028,Year C,31,Second Sunday after Pentecost
6/25/2028,Year C,32,Third Sunday after Pentecost
7/2/2028,Year C,33,Fourth Sunday after Pentecost
7/9/2028,Year C,34,Fifth Sunday after Pentecost
7/16/2028,Year C,35,Sixth Sunday after Pentecost
7/23/2028,Year C,36,Seventh Sunday after Pentecost
7/30/2028,Year C,37,Eighth Sunday after Pentecost
8/6/2028,Year C,38,Ninth Sunday after Pentecost
8/13/2028,Year C,39,Tenth Sunday after Pentecost
8/20/2028,Year C,40,Eleventh Sunday after Pentecost
8/27/2028,Year C,41,Twelfth Sunday after Pentecost
9/3/2028,Year C,42,Thirteenth Sunday after Pentecost
9/10/2028,Year C,43,Fourteenth Sunday after Pentecost
9/17/2028,Year C,44,Fifteenth Sunday after Pentecost
9/24/2028,Year C,45,Sixteenth Sunday after Pentecost
10/1/2028,Year C,46,Seventeenth Sunday after Pentecost
10/8/2028,Year C,47,Eighteenth Sunday after Pentecost
10/15/2028,Year C,48,Nineteenth Sunday after Pentecost
10/22/2028,Year C,49,Twentieth Sunday after Pentecost
10/29/2028,Year C,50,Twenty-first Sunday after Pentecost
11/5/2028,Year C,51,All Saints Day
11/12/2028,Year C,52,Twenty-third Sunday after Pentecost
11/19/2028,Year C,53,Twenty-fourth Sunday after Pentecost
11/26/2028,Year A,1,First Sunday of Advent
12/3/2028,Year A,2,Second Sunday of Advent
12/10/2028,Year A,3,Third Sunday of Advent
12/17/2028,Year A,4,Fourth Sunday of Advent
12/24/2028,Year A,5,Fifth Sunday of Advent
12/31/2028,Year A,6,New Years Eve
1/7/2029,Year A,7,Baptism of Our Lord
1/14/2029,Year A,8,Second Sunday after Epiphany
1/21/2029,Year A,9,Third Sunday after Epiphany
1/28/2029,Year A,10,Fourth Sunday after Epiphany
2/4/2029,Year A,11,Fifth Sunday after Epiphany
2/11/2029,Year A,12,Sixth Sunday after Epiphany
2/18/2029,Year A,13,First Sunday in Lent
2/25/2029,Year A,14,Second Sunday in Lent
3/4/2029,Year A,15,Third Sunday in Lent
3/11/2029,Year A,16,Fourth Sunday in Lent
3/18/2029,Year A,17,Fifth Sunday in Lent
3/25/2029,Year A,18,Sixth Sunday in Lent
4/1/2029,Year A,19,Resurrection of Our Lord
4/8/2029,Year A,20,Third Sunday of Easter
4/15/2029,Year A,21,Fourth Sunday of Easter
4/22/2029,Year A,22,Fifth Sunday of Easter
4/29/2029,Year A,23,Sixth Sunday of Easter
5/6/2029,Year A,24,Seventh Sunday of Easter
5/13/2029,Year A,25,Eighth Sunday of Easter
5/20/2029,Year A,26,Day of Pentecost
5/27/2029,Year A,27,The Holy Trinity
6/3/2029,Year A,28,Second Sunday after Pentecost
6/10/2029,Year A,29,Third Sunday after Pentecost
6/17/2029,Year A,30,Fourth Sunday after Pentecost
6/24/2029,Year A,31,Fifth Sunday after Pentecost
7/1/2029,Year A,32,Sixth Sunday after Pentecost
7/8/2029,Year A,33,Seventh Sunday after Pentecost
7/15/2029,Year A,34,Eighth Sunday after Pentecost
7/22/2029,Year A,35,Ninth Sunday after Pentecost
7/29/2029,Year A,36,Tenth Sunday after Pentecost
8/5/2029,Year A,37,Eleventh Sunday after Pentecost
8/12/2029,Year A,38,Twelfth Sunday after Pentecost
8/19/2029,Year A,39,Thirteenth Sunday after Pentecost
8/26/2029,Year A,40,Fourteenth Sunday after Pentecost
9/2/2029,Year A,41,Fifteenth Sunday after Pentecost
9/9/2029,Year A,42,Sixteenth Sunday after Pentecost
9/16/2029,Year A,43,Seventeenth Sunday after Pentecost
9/23/2029,Year A,44,Eighteenth Sunday after Pentecost
9/30/2029,Year A,45,Nineteenth Sunday after Pentecost
10/7/2029,Year A,46,Twentieth Sunday after Pentecost
10/14/2029,Year A,47,Twenty-first Sunday after Pentecost
10/21/2029,Year A,48,Twenty-second Sunday after Pentecost
10/28/2029,Year A,49,Twenty-third Sunday after Pentecost
11/4/2029,Year A,50,All Saints Day
11/11/2029,Year A,51,Twenty-fifth Sunday after Pentecost
11/18/2029,Year A,52,Twenty-sixth Sunday after Pentecost
11/25/2029,Year B,1,First Sunday of Advent
12/2/2029,Year B,2,Second Sunday of Advent
12/9/2029,Year B,3,Third Sunday of Advent
12/16/2029,Year B,4,Fourth Sunday of Advent
12/23/2029,Year B,5,Fifth Sunday of Advent
12/30/2029,Year B,6,First Sunday of Christmas
1/6/2030,Year B,7,Epiphany of Our Lord
1/13/2030,Year B,8,Baptism of Our Lord
1/20/2030,Year B,9,Second Sunday after Epiphany
1/27/2030,Year B,10,Third Sunday after Epiphany
2/3/2030,Year B,11,Fourth Sunday after Epiphany
2/10/2030,Year B,12,Fifth Sunday after Epiphany
2/17/2030,Year B,13,Sixth Sunday after Epiphany
